timestamp,close,raw_signal,processed_signal,regime_probability,target_normalized_position,current_contracts_before,target_contracts,delta_contracts,trade_allowed,dry_run
2026-07-01T10:00:00,2008.4,0.8832713961601257,0.8787713051107667,0.08873328566551208,0.8787713051107667,4,4,0,True,True
2026-07-01T10:05:00,2008.6,0.8595433831214905,0.8617897773216696,0.08653783053159714,0.8617897773216696,4,4,0,True,True
2026-07-01T10:10:00,2008.8,0.8487948775291443,0.8534743233701927,0.08716065436601639,0.8534743233701927,4,4,0,True,True
2026-07-01T10:15:00,2010.0,0.8324740529060364,0.839550201014958,0.09171073883771896,0.839550201014958,4,4,0,True,True
2026-07-01T10:20:00,2011.9,0.8116062879562378,0.8197636436015069,0.10326725244522095,0.8197636436015069,4,4,0,True,True
2026-07-01T10:25:00,2012.7,0.2638455629348755,0.353227690770516,0.10126426815986633,0.353227690770516,4,2,-2,True,True
2026-07-01T10:30:00,2012.8,0.5208685398101807,0.581557902156248,0.1286979615688324,0.581557902156248,2,3,1,True,True
2026-07-01T10:35:00,2015.3,0.5780264735221863,0.6247155269459068,0.1440747231245041,0.6247155269459068,3,3,0,True,True
2026-07-01T10:40:00,2014.0,0.6848952174186707,0.7072132989852509,0.15159861743450165,0.7072132989852509,3,4,1,True,True
2026-07-01T10:45:00,2013.8,0.7376871705055237,0.750755287306274,0.14205193519592285,0.750755287306274,4,4,0,True,True
2026-07-01T10:50:00,2013.3,0.7341634035110474,0.7485025039434816,0.14066985249519348,0.7485025039434816,4,4,0,True,True
2026-07-01T10:55:00,2012.9,0.745076596736908,0.7572110495524713,0.13948774337768555,0.7572110495524713,4,4,0,True,True
2026-07-01T11:00:00,2013.7,0.7186548113822937,0.7355167568611032,0.14417879283428192,0.7355167568611032,4,4,0,True,True
2026-07-01T11:05:00,2013.5,0.6884937882423401,0.7081741403782761,0.15763239562511444,0.7081741403782761,4,4,0,True,True
2026-07-01T11:10:00,2013.3,0.668044924736023,0.6887795237295662,0.169677734375,0.6887795237295662,4,3,-1,True,True
2026-07-01T11:15:00,2013.4,0.6387012600898743,0.6625588980833146,0.18158504366874695,0.6625588980833146,3,3,0,True,True
2026-07-01T11:20:00,2013.9,0.5920180082321167,0.6208581583426215,0.2002469003200531,0.6208581583426215,3,3,0,True,True
2026-07-01T11:25:00,2015.0,0.5255063772201538,0.5595014601516232,0.23375040292739868,0.5595014601516232,3,3,0,True,True
2026-07-01T13:00:00,2015.9,0.44921600818634033,0.4774374241473168,0.3247205913066864,0.4774374241473168,3,2,-1,True,True
2026-07-01T13:05:00,2015.3,0.39849546551704407,0.4196185009510752,0.40840739011764526,0.4196185009510752,2,2,0,True,True
2026-07-01T13:10:00,2015.8,0.336620569229126,0.3585997805052375,0.47140878438949585,0.3585997805052375,2,2,0,True,True
2026-07-01T13:15:00,2015.9,0.3191259503364563,0.33463915358019625,0.52964186668396,0.33463915358019625,2,2,0,True,True
2026-07-01T13:20:00,2016.0,0.337232381105423,0.3407793416556795,0.5748422741889954,0.3407793416556795,2,2,0,True,True
2026-07-01T13:25:00,2013.6,0.38521748781204224,0.37416450591284944,0.5869641900062561,0.37416450591284944,2,2,0,True,True
2026-07-01T13:30:00,2013.5,0.40662360191345215,0.38953243741590354,0.5875539183616638,0.38953243741590354,2,2,0,True,True
2026-07-01T13:35:00,2012.6,0.41852763295173645,0.3963530236319329,0.5957275629043579,0.3963530236319329,2,2,0,True,True
2026-07-01T13:40:00,2012.1,0.39385026693344116,0.37932861166755677,0.5925320386886597,0.37932861166755677,2,2,0,True,True
2026-07-01T13:45:00,2012.7,0.3097677230834961,0.3168143584730926,0.5924859642982483,0.3168143584730926,2,2,0,True,True
2026-07-01T13:50:00,2013.2,0.24018792808055878,0.26119250238707437,0.5967872738838196,0.26119250238707437,2,1,-1,True,True
